customer_id,company_name,industry,company_size,country,signup_date,subscription_plan,monthly_charges_usd,contract_type,tenure_months,total_logins_90d,days_since_last_login,avg_session_duration_min,features_used_pct,integrations_connected,api_calls_30d,data_storage_used_pct,reports_generated_30d,team_members_active,support_tickets_90d,avg_ticket_resolution_hrs,nps_score,csat_score,total_revenue_lifetime_usd,payment_delays_6m,discount_applied_pct,has_dedicated_csm,onboarding_completed,training_sessions_attended,engagement_score,health_score,churned,churn_date,churn_reason,revenue_at_risk,customer_lifetime_days,login_frequency,risk_sagment,nps_category,support_burden,revenue_per_member,is_high_value,signup_year,signup_month,signup_quater,engagmet_vs_tenure
CUST-00001,MediaSolutions_0,Retail,201-500,Canada,2024-05-10,Professional,77.52,Monthly,8,38,16,10.5,74.9,2,920,34.0,15,4,2,21.6,3.0,4.2,541.03,1,0,0,1,2,30.6,49.1,0,,,0.0,236.0,High,At Risk,Detractor,0.25,19.38,0,2024,5,2,3.82
CUST-00002,RetailLabs_1,Legal,11-50,United Kingdom,2024-11-10,Enterprise,208.46,Annual,2,35,2,33.8,62.6,2,170,12.5,7,4,3,36.9,8.0,3.3,410.8,1,15,0,0,3,33.6,53.9,0,,,0.0,52.0,High,Stable,Passive,1.5,52.12,1,2024,11,4,16.8
CUST-00003,FinanceCorp_2,Legal,11-50,India,2022-05-02,Professional,88.15,Annual,32,40,0,13.5,84.1,3,814,40.8,6,1,3,7.7,7.0,2.4,2337.95,0,15,1,0,2,36.0,52.6,0,,,0.0,975.0,High,Stable,Passive,0.094,88.15,1,2022,5,2,1.12
CUST-00004,MediaCloud_3,Technology,11-50,Canada,2023-04-12,Starter,28.01,Monthly,21,27,7,11.7,64.6,5,338,6.1,10,2,2,30.0,9.0,4.3,635.94,1,25,0,1,0,33.2,56.5,0,,,0.0,630.0,High,Stable,Promoter,0.095,14.0,0,2023,4,2,1.58
CUST-00005,MediaWorks_4,Logistics,1000+,Germany,2022-11-27,Professional,77.17,Monthly,25,40,1,7.1,73.3,3,39,41.5,11,4,4,20.3,8.0,2.6,2173.41,0,25,0,1,1,31.5,51.0,0,,,0.0,766.0,High,Stable,Passive,0.16,19.29,0,2022,11,4,1.26
CUST-00006,LogisticsSolutions_5,Finance,11-50,India,2022-03-29,Professional,75.54,Monthly,33,49,11,18.1,54.2,3,176,63.9,8,5,3,20.3,0.0,2.9,3110.02,0,15,1,0,1,31.0,44.3,0,,,0.0,1009.0,Very High,At Risk,Detractor,0.091,15.11,0,2022,3,1,0.94
CUST-00007,TechInc_6,Consulting,51-200,United States,2024-05-21,Starter,42.24,Monthly,7,37,1,10.6,67.4,4,812,24.3,5,5,1,7.7,7.0,4.6,317.87,0,0,0,1,3,32.8,57.0,0,,,0.0,225.0,High,Stable,Passive,0.143,8.45,0,2024,5,2,4.69
CUST-00008,FinanceLabs_7,Retail,501-1000,Germany,2022-05-11,Professional,78.66,Monthly,32,40,17,20.1,19.5,5,246,58.1,6,1,6,6.5,4.0,4.4,2909.42,0,0,0,0,1,25.9,45.3,1,2024-08-04,Switched Internally,943.92,816.0,High,At Risk,Detractor,0.188,78.66,0,2022,5,2,0.81
CUST-00009,EnergyWorks_8,Consulting,1-10,Brazil,2024-02-09,Enterprise,0.01,Annual,11,43,6,8.8,10.5,3,48,39.4,9,6,0,24.5,6.0,5.0,2200.29,0,15,0,1,1,16.7,50.6,0,,,0.0,327.0,Very High,Stable,Detractor,0.0,0.0,0,2024,2,1,1.52
CUST-00010,TechCloud_9,Logistics,1000+,United States,2022-12-10,Enterprise,199.61,Monthly,25,35,8,8.2,78.7,1,508,37.0,6,3,1,44.2,7.0,3.5,5172.41,0,20,0,1,2,28.4,50.4,0,,,0.0,753.0,High,Stable,Passive,0.04,66.54,1,2022,12,4,1.14
